ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:2000833	positive regulation of steroid hormone secretion	7/1696	11/15233	0.6363636363636364	5.7156410806174955	5.537725205027171	4.6058464125991985e-5	0.0013503054025754532	0.0010676597003965091	ENSG00000119147/ENSG00000153162/ENSG00000173918/ENSG00000166573/ENSG00000167034/ENSG00000006128/ENSG00000118785	7
GO:0051302	regulation of cell division	36/1696	164/15233	0.21951219512195122	1.9715974459272896	4.427884124604376	4.690457407515866e-5	0.001367757446159573	0.0010814586851215866	ENSG00000165197/ENSG00000164736/ENSG00000167244/ENSG00000089685/ENSG00000165891/ENSG00000121691/ENSG00000138685/ENSG00000114346/ENSG00000122966/ENSG00000140285/ENSG00000134690/ENSG00000118193/ENSG00000066279/ENSG00000265972/ENSG00000161800/ENSG00000186185/ENSG00000276365/ENSG00000105894/ENSG00000073282/ENSG00000170962/ENSG00000137807/ENSG00000166851/ENSG00000131242/ENSG00000162367/ENSG00000115008/ENSG00000087586/ENSG00000094804/ENSG00000112984/ENSG00000178999/ENSG00000007372/ENSG00000003096/ENSG00000197299/ENSG00000167034/ENSG00000129173/ENSG00000119715/ENSG00000149295	36
GO:1901988	negative regulation of cell cycle phase transition	49/1696	249/15233	0.19678714859437751	1.7674874024399483	4.322024476721319	4.89196228736938e-5	0.0014119161234980911	0.0011163740754675227	ENSG00000022267/ENSG00000136826/ENSG00000089685/ENSG00000117707/ENSG00000165891/ENSG00000170312/ENSG00000154839/ENSG00000122641/ENSG00000134690/ENSG00000122952/ENSG00000127564/ENSG00000080986/ENSG00000106462/ENSG00000168309/ENSG00000092853/ENSG00000112742/ENSG00000117724/ENSG00000134057/ENSG00000156970/ENSG00000137812/ENSG00000188486/ENSG00000120129/ENSG00000138346/ENSG00000161888/ENSG00000102760/ENSG00000111602/ENSG00000172818/ENSG00000166851/ENSG00000169679/ENSG00000101412/ENSG00000149554/ENSG00000143476/ENSG00000164109/ENSG00000040275/ENSG00000093009/ENSG00000117399/ENSG00000136014/ENSG00000152253/ENSG00000094804/ENSG00000178999/ENSG00000071539/ENSG00000092470/ENSG00000177602/ENSG00000165480/ENSG00000143452/ENSG00000197299/ENSG00000085840/ENSG00000181449/ENSG00000143228	49
GO:0043116	negative regulation of vascular permeability	9/1696	18/15233	0.5	4.490860849056604	5.245211283093941	4.893675909428557e-5	0.0014119161234980911	0.0011163740754675227	ENSG00000131016/ENSG00000186642/ENSG00000184113/ENSG00000148926/ENSG00000145147/ENSG00000131477/ENSG00000073712/ENSG00000079385/ENSG00000154188	9
GO:0006939	smooth muscle contraction	25/1696	98/15233	0.25510204081632654	2.291255535232961	4.539041949171759	5.1492263909664285e-5	0.0014778279742073649	0.0011684892685539332	ENSG00000018625/ENSG00000133392/ENSG00000130176/ENSG00000120907/ENSG00000105974/ENSG00000136160/ENSG00000124205/ENSG00000141052/ENSG00000150594/ENSG00000157404/ENSG00000169252/ENSG00000065534/ENSG00000182674/ENSG00000276365/ENSG00000134548/ENSG00000137573/ENSG00000107796/ENSG00000168356/ENSG00000171596/ENSG00000105664/ENSG00000168743/ENSG00000050628/ENSG00000108405/ENSG00000102468/ENSG00000149295	25
GO:1901970	positive regulation of mitotic sister chromatid separation	10/1696	22/15233	0.45454545454545453	4.0826007718696395	5.1212964390349285	5.2085373103686625e-5	0.0014870237671958282	0.0011757601996842128	ENSG00000089685/ENSG00000154839/ENSG00000134690/ENSG00000126787/ENSG00000175063/ENSG00000135476/ENSG00000117399/ENSG00000136014/ENSG00000178999/ENSG00000165480	10
GO:0014074	response to purine-containing compound	32/1696	140/15233	0.22857142857142856	2.052964959568733	4.430169327147046	5.3253108212638774e-5	0.0015111940051772764	0.001194871127473264	ENSG00000167588/ENSG00000181092/ENSG00000129596/ENSG00000079337/ENSG00000179094/ENSG00000186642/ENSG00000240583/ENSG00000092820/ENSG00000163083/ENSG00000123342/ENSG00000125740/ENSG00000159899/ENSG00000069431/ENSG00000213366/ENSG00000181195/ENSG00000198838/ENSG00000115461/ENSG00000120129/ENSG00000121361/ENSG00000118729/ENSG00000180509/ENSG00000021826/ENSG00000151320/ENSG00000158856/ENSG00000170345/ENSG00000130707/ENSG00000001626/ENSG00000134240/ENSG00000108405/ENSG00000145708/ENSG00000260428/ENSG00000187486	32
GO:0033002	muscle cell proliferation	41/1696	197/15233	0.20812182741116753	1.8692923331098554	4.34673314616218	5.348623564995678e-5	0.0015111940051772764	0.001194871127473264	ENSG00000138207/ENSG00000181092/ENSG00000154734/ENSG00000130176/ENSG00000132170/ENSG00000169418/ENSG00000165795/ENSG00000136826/ENSG00000189058/ENSG00000069702/ENSG00000006210/ENSG00000138685/ENSG00000170312/ENSG00000017427/ENSG00000126778/ENSG00000166831/ENSG00000141052/ENSG00000170989/ENSG00000125845/ENSG00000148737/ENSG00000080986/ENSG00000162733/ENSG00000089225/ENSG00000087245/ENSG00000077782/ENSG00000134057/ENSG00000154928/ENSG00000109819/ENSG00000157168/ENSG00000106809/ENSG00000115461/ENSG00000276365/ENSG00000102760/ENSG00000170962/ENSG00000105971/ENSG00000104415/ENSG00000019991/ENSG00000170345/ENSG00000136244/ENSG00000049540/ENSG00000154188	41
GO:0045598	regulation of fat cell differentiation	30/1696	128/15233	0.234375	2.105091022995283	4.443987677690398	5.499815076681637e-5	0.0015434339769363754	0.0012203626337084163	ENSG00000174697/ENSG00000181092/ENSG00000175445/ENSG00000132170/ENSG00000102802/ENSG00000130876/ENSG00000151468/ENSG00000099953/ENSG00000079102/ENSG00000109906/ENSG00000172201/ENSG00000104332/ENSG00000126778/ENSG00000156076/ENSG00000128016/ENSG00000125845/ENSG00000106538/ENSG00000150907/ENSG00000245848/ENSG00000101255/ENSG00000073712/ENSG00000073756/ENSG00000163624/ENSG00000101412/ENSG00000143507/ENSG00000149926/ENSG00000104415/ENSG00000136244/ENSG00000102468/ENSG00000139304	30
GO:0061041	regulation of wound healing	28/1696	116/15233	0.2413793103448276	2.1680017891997396	4.469612481681976	5.519340280627053e-5	0.0015434339769363754	0.0012203626337084163	ENSG00000135218/ENSG00000138722/ENSG00000149131/ENSG00000105974/ENSG00000132205/ENSG00000003436/ENSG00000010278/ENSG00000138685/ENSG00000134853/ENSG00000150594/ENSG00000184500/ENSG00000162733/ENSG00000065534/ENSG00000073712/ENSG00000140873/ENSG00000172243/ENSG00000173918/ENSG00000079385/ENSG00000135046/ENSG00000158856/ENSG00000104415/ENSG00000261150/ENSG00000173083/ENSG00000154188/ENSG00000131187/ENSG00000057593/ENSG00000196581/ENSG00000177791	28
