ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0000086	G2/M transition of mitotic cell cycle	29/1612	145/18860	0.2	2.339950372208437	4.951653838604982	1.2586198975428618e-5	5.011595592034305e-4	4.073722259474394e-4	FHL1/CDK1/CDC6/PKMYT1/AURKA/AURKB/BIRC5/FOXM1/DBX2/TICRR/KIF14/CENPF/CLSPN/DTL/CDC20/CCNB1/CDC25C/CCND1/NES/CCNA2/ABCB1/PLK1/HSPA2/CHEK1/ORC1/BLM/CDC25A/GPR132/MELK	29
GO:0015849	organic acid transport	55/1612	357/18860	0.15406162464985995	1.8024827797123812	4.679734695250077	1.3320400371315126e-5	5.197213966407785e-4	4.224603887803419e-4	SLC7A10/CD36/FABP4/ACACB/SLC2A1/LYPLA1/PPARG/LEP/SLC16A7/SLC29A4/SLC13A2/SLC38A1/ABCD2/AVPR1A/ATP1A2/RBP7/CES1/ACSL1/KCNJ8/SLC16A6/SLC17A7/GFAP/PLA2G4F/SPX/LLGL2/FOLR2/NHERF1/SLC5A8/NTRK2/PTGS2/NTSR1/PLA2G2A/ABCB1/SLC1A2/SLC26A5/SLC7A5/SLC1A4/SLC25A10/APBA1/SLC22A3/NMB/ABCC4/AKR1C1/KCNK1/GRM7/SLC25A18/SLC1A7/SLC22A11/SLC26A9/SLCO1C1/ABCB11/SLC7A2/SLC7A3/SLC22A13/TNF	55
GO:0070482	response to oxygen levels	55/1612	357/18860	0.15406162464985995	1.8024827797123812	4.679734695250077	1.3320400371315126e-5	5.197213966407785e-4	4.224603887803419e-4	SLC2A4/FZD4/AQP1/CAV1/SLC2A1/CAT/ABCC9/ADIPOQ/PPARG/TWIST1/SOD3/EPAS1/LEP/RGCC/DDR2/ANGPTL4/CXCL12/HIF3A/NKX3-1/FMN2/KCNJ8/PTGIS/TGFBR3/WTIP/VEGFD/LPAR1/ARNT2/S100B/CCNB1/CA3/STC1/PTGS2/CCNA2/EGR1/BMP2/ABCB1/AQP3/EGLN3/PMAIP1/SLC7A5/PENK/INHBA/FOS/SLC6A4/SOX2/CLDN3/MYOCD/MYB/OPRD1/CRYAB/E2F1/SFRP1/MB/TNF/TERT	55
GO:0008643	carbohydrate transport	28/1612	138/18860	0.2028985507246377	2.3738626964433416	4.951983986070378	1.332618965745586e-5	5.197213966407785e-4	4.224603887803419e-4	SLC2A4/AQP7/TRARG1/ACACB/AQP1/SORBS1/SLC2A1/ADIPOQ/LEP/SLC50A1/IGF1/GPC3/OCLN/KLF15/PID1/TRIB3/SLC25A27/SLC2A14/OPN3/SLC1A2/SLC26A5/AQP3/C3/NR4A3/SLC45A2/AQP2/TNF/TERT	28
GO:0030900	forebrain development	62/1612	419/18860	0.14797136038186157	1.7312281990086287	4.627433496088939	1.4142256325617222e-5	5.477959695106427e-4	4.4528106740951613e-4	SEMA3G/AQP1/PLXNA4/SLC2A1/SHANK3/PTPRS/TYRO3/ALDH1A2/CXCL12/WDR62/AVPR1A/FAT4/LHX6/ATP1A2/DLC1/EZH2/LPAR1/FGF2/MSX1/HPRT1/ASPM/PRDM8/KIF14/KCNA1/FOXP2/RELN/PCDH9/EMX2/ARHGAP11B/FILIP1/STIL/SRD5A1/HMGA2/CCDC141/NTRK2/SLIT2/CDH1/BMP2/DKK1/SLC1A2/ID4/PROX1/NR4A3/KIF26A/BCAN/PROP1/PTCHD1/INHBB/INHBA/LRP8/ATP1B2/POU3F2/SEMA3D/FOS/SOX2/PAX6/SEMA3A/CHD5/E2F1/SCN5A/ROBO2/PITX1	62
GO:0007080	mitotic metaphase chromosome alignment	17/1612	63/18860	0.2698412698412698	3.1570758990113825	5.242807448187709	1.440222088950382e-5	5.493050258717903e-4	4.465077179594888e-4	CDCA8/CDK1/SPDL1/AURKB/KIF18A/NDC80/BIRC5/KIF2C/KIF14/KIFC1/TTK/INCENP/CCNB1/CENPE/NUF2/SKA3/SKA1	17
GO:0051785	positive regulation of nuclear division	17/1612	63/18860	0.2698412698412698	3.1570758990113825	5.242807448187709	1.440222088950382e-5	5.493050258717903e-4	4.465077179594888e-4	IGF1/NUSAP1/ESPL1/AURKA/MSX1/CDC20/UBE2C/DLGAP5/RAD51AP1/SKA3/IGF2/SKA1/IL1A/EPGN/EGF/USP44/TNF	17
GO:1901654	response to ketone	40/1612	232/18860	0.1724137931034483	2.017198596731411	4.765836152812068	1.4546292686445004e-5	5.493050258717903e-4	4.465077179594888e-4	GHR/SLIT3/AQP1/CAV1/NR3C1/CEBPA/ABHD2/AVPR1A/SERPINF1/SMYD3/NKX3-1/PRKN/TGFBR3/PCK1/CCL21/FGF2/SCN11A/DUSP1/FOSB/SRD5A1/ADCY5/CCND1/SLIT2/ABCB1/PTGFR/INHBB/INHBA/AKR1C3/FOS/CFTR/ADCY1/AARD/IFITM5/SPP1/HCN2/CSN1S1/SFRP1/NTRK3/CLDN1/NPAS4	40
GO:2000628	regulation of miRNA metabolic process	21/1612	89/18860	0.23595505617977527	2.760615607661639	5.089654746210349	1.4567098508366762e-5	5.493050258717903e-4	4.465077179594888e-4	PPARG/TWIST1/NR3C1/ATOH8/KLF4/IL6/JUN/FGF2/ESR1/GATA3/NGFR/EGR1/BMP2/FOXA1/FOS/PAX6/MYOCD/MYB/FOSL1/TNF/TERT	21
GO:0019915	lipid storage	22/1612	96/18860	0.22916666666666666	2.6811931348221667	5.04850731086187	1.509896592151975e-5	5.656152102442991e-4	4.5976560357979465e-4	LPL/CD36/ACACB/DGAT2/CAV1/PNPLA2/PPARG/STAT5A/ACVR1C/CIDEC/LEP/CIDEA/CES1/MEST/CDS1/IL6/SQLE/APOB/SOAT2/C3/SMIM22/TNF	22
